"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1368","RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames vi","2020-12-14 20:43:08","TRUE","1","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1369","DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames ","2020-12-14 20:43:01","FALSE","1","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1370","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 20:36:37","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1371","Apple improves Air Quality Health recommendations on your iPhone in iOS 14.3 using Breezometer ","2020-12-14 20:31:59","FALSE","0","0","2","Apple iPhone","Los Angeles","USA",FALSE
"1372","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 20:24:01","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1373","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 20:17:43","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1374","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 20:12:07","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1375","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 19:55:55","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1376","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 19:44:34","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1377","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 19:36:59","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1378","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 19:25:08","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1379","RT @iDropNews: Congrats to Matthew R. from Brooklyn, New York who won a brand-new iPhone 12 Pro Max from @iDropNews  Follow the link and e","2020-12-14 19:22:42","TRUE","1857","0","1","Apple iPhone","Los Angeles","USA",TRUE
"1380","Apple ProRAW Review: The Best Way to Shoot RAW on an iPhone ","2020-12-14 19:21:36","FALSE","0","0","1","Apple iPhone","Los Angeles","USA",FALSE
"1381","yay! I bought myself the iphone 12 pro max and the new Apple Watch and I love it ","2020-12-14 19:10:33","FALSE","0","0","2","Apple iPhone","Los Angeles","USA",FALSE
"1382","Warning Issued For Millions Of Apple iPhone Users ","2020-12-14 19:08:20","FALSE","0","0","-1","Apple iPhone","Los Angeles","USA",FALSE
"1383","RT @iDropNews: iPhone and Apple Watch software updates have landed! Here are 10 new features and changes in iOS 14.3 and watchOS 7.2 apple","2020-12-14 18:56:52","TRUE","14","0","0","Apple iPhone","Los Angeles","USA",TRUE
